Evacuation Rate, Elapsed Sec
0, 0.01999999
0, 0.03999998
0, 0.05999998
0, 0.07999997
0, 0.09999996
0, 0.12
0, 0.14
0, 0.16
0, 0.1799999
0, 0.1999999
0, 0.2199999
0, 0.2399999
0, 0.2599999
0, 0.2799999
0, 0.2999999
0, 0.3199999
0, 0.3399999
0, 0.3599998
0, 0.3799998
0, 0.3999998
0, 0.4199998
0, 0.4399998
0, 0.4599997
0, 0.4799997
0, 0.4999997
0, 0.5199997
0, 0.5399997
0, 0.5599996
0, 0.5799996
0, 0.5999996
0, 0.6199996
0, 0.6399996
0, 0.6599995
0, 0.6799995
0, 0.6999995
0, 0.7199995
0, 0.7399995
0, 0.7599995
0, 0.7799994
0, 0.7999994
0, 0.8199994
0, 0.8399994
0, 0.8599994
0, 0.8799993
0, 0.8999993
0, 0.9199993
0, 0.9399993
0, 0.9599993
0, 0.9799992
0, 0.9999992
0, 1.019999
0, 1.039999
0, 1.059999
0, 1.079999
0, 1.099999
0, 1.119999
0, 1.139999
0, 1.159999
0, 1.179999
0, 1.199999
0, 1.219999
0, 1.239999
0, 1.259999
0, 1.279999
0, 1.299999
0, 1.319999
0, 1.339999
0, 1.359999
0, 1.379999
0, 1.399999
0, 1.419999
0, 1.439999
0, 1.459999
0, 1.479999
0, 1.499999
0, 1.519999
0, 1.539999
0, 1.559999
0, 1.579999
0, 1.599999
0, 1.619999
0, 1.639999
0, 1.659999
0, 1.679999
0, 1.699999
0, 1.719999
0, 1.739999
0, 1.759999
0, 1.779999
0, 1.799999
0, 1.819999
0, 1.839998
0, 1.859998
0, 1.879998
0, 1.899998
0, 1.919998
0, 1.939998
0, 1.959998
0, 1.979998
0, 1.999998
0, 2.019998
0, 2.039998
0, 2.059998
0, 2.079998
0, 2.099998
0, 2.119998
0, 2.139998
0, 2.159998
0, 2.179998
0, 2.199998
0, 2.219998
0, 2.239998
0, 2.259998
0, 2.279998
0, 2.299998
0, 2.319998
0, 2.339998
0, 2.359998
0, 2.379998
0, 2.399998
0, 2.419998
0, 2.439998
0, 2.459998
0, 2.479998
0, 2.499998
0, 2.519998
0, 2.539998
0, 2.559998
0, 2.579998
0, 2.599998
0, 2.619998
0, 2.639998
0, 2.659998
0, 2.679998
0, 2.699998
0, 2.719998
0, 2.739998
0, 2.759998
0, 2.779998
0, 2.799998
0, 2.819998
0, 2.839998
0, 2.859998
0, 2.879997
0, 2.899997
0, 2.919997
0, 2.939997
0, 2.959997
0, 2.979997
0, 2.999997
0, 3.019997
0, 3.039997
0, 3.059997
0, 3.079997
0, 3.099997
0, 3.119997
0, 3.139997
0, 3.159997
0, 3.179997
0, 3.199997
0, 3.219997
0, 3.239997
0, 3.259997
0, 3.279997
0, 3.299997
0, 3.319997
0, 3.339997
0, 3.359997
0, 3.379997
0, 3.399997
0, 3.419997
0, 3.439997
0, 3.459997
0, 3.479997
0, 3.499997
0, 3.519997
0, 3.539997
0, 3.559997
0, 3.579997
0, 3.599997
0, 3.619997
0, 3.639997
0, 3.659997
0, 3.679997
0, 3.699997
0, 3.719997
0, 3.739997
0, 3.759997
0, 3.779997
0, 3.799997
0, 3.819997
0, 3.839997
0, 3.859997
0, 3.879997
0, 3.899997
0, 3.919997
0, 3.939996
0, 3.959996
0, 3.979996
0, 3.999996
0, 4.019997
0, 4.039997
0, 4.059997
0, 4.079997
0, 4.099997
0, 4.119997
0, 4.139997
0, 4.159997
0, 4.179996
0, 4.199996
0, 4.219996
0, 4.239996
0, 4.259996
0, 4.279996
0, 4.299996
0, 4.319996
0, 4.339996
0, 4.359996
0, 4.379996
0, 4.399996
0, 4.419996
0, 4.439996
0, 4.459996
0, 4.479996
0, 4.499996
0, 4.519996
0, 4.539996
0, 4.559996
0, 4.579996
0, 4.599996
0, 4.619996
0, 4.639996
0, 4.659996
0, 4.679996
0, 4.699996
0, 4.719996
0, 4.739996
0, 4.759996
0, 4.779996
0, 4.799996
0, 4.819996
0, 4.839996
0, 4.859996
0, 4.879996
0, 4.899996
0, 4.919996
0, 4.939996
0, 4.959996
0, 4.979996
0, 4.999996
0, 5.019996
0, 5.039996
0, 5.059996
0, 5.079996
0, 5.099996
0, 5.119996
0, 5.139996
0, 5.159996
0, 5.179996
0, 5.199996
0, 5.219995
0, 5.239995
0, 5.259995
0, 5.279995
0, 5.299995
0, 5.319995
0, 5.339995
0, 5.359995
0, 5.379995
0, 5.399995
0, 5.419995
0, 5.439995
0, 5.459995
0, 5.479995
0, 5.499995
0, 5.519995
0, 5.539995
0, 5.559995
0, 5.579995
0, 5.599995
0, 5.619995
0, 5.639995
0, 5.659995
0, 5.679995
0, 5.699995
0, 5.719995
0, 5.739995
0, 5.759995
0, 5.779995
0, 5.799995
0, 5.819995
0, 5.839995
0, 5.859995
0, 5.879995
0, 5.899995
0, 5.919995
0, 5.939995
